gene,locus
proA,b0243
thrW,b0244
ykfN,b4626
ykfI,b0245
yafW,b0246
ykfH,b4504
ykfG,b0247
yafX,b0248
ykfF,b0249
ykfB,b0250
yafY,b0251
ykfL,b4627
ykfK,b4628
yafZ,b0252
ykfA,b0253
perR,b0254
insN,b4587
insI1_0,b0256
eyeA,b4690
ykfC,b0258
insH1_0,b0259
mmuP,b0260
mmuM,b0261
afuC,b0262
afuB,b0263
insB1_1,b0264
insA_1,b0265
insI1_1,b4708
insX,b4505
yagB,b0266
yagA,b0267
yagE,b0268
yagF,b0269
yagG,b0270
yagH,b0271
yagI,b0272
argF,b0273
ykgS,b4688
insB1_2,b0274
insA_2,b0275
yagJ,b0276
yagK,b0277
yagL,b0278
yagM,b0279
yagN,b0280
intF,b0281
ptwF,b4629
yagP,b4694
ykgT,b4695
paoD,b0283
paoC,b0284
paoB,b0285
paoA,b0286
yagU,b0287
ykgJ,b0288
ecpE,b0289
ecpD,b0290
ecpC,b0291
ecpB,b0292
ecpA,b0293
ecpR,b0294
ykgL,b0295
ykgO,b4506
ykgM,b0296
ykgR,b4671
ykgP,b4630
eaeH,b0297
insE1_0,b0298
insF1_0,b0299
ykgA,b0300
ykgQ,b4631
rclC,b0301
rclB,b0303
rclA,b0304
rclR,b0305
ykgE,b0306
ykgF,b0307
ykgG,b0308
ykgH,b0310
betA,b0311
betB,b0312
betI,b0313
betT,b0314
yahA,b0315
yahB,b0316
yahC,b0317
yahD,b0318
yahE,b0319
yahF,b0320
yahG,b0321
yahI,b0323
yahJ,b0324
yahK,b0325
yahL,b0326
yahM,b0327
yahN,b0328
yahO,b0329
prpR,b0330
prpB,b0331
prpC,b0333
prpD,b0334
prpE,b0335
codB,b0336
codA,b0337
cynR,b0338
cynT,b0339
cynS,b0340
cynX,b0341
lacA,b0342
lacY,b0343
lacZ,b0344
lacI,b0345
mhpR,b0346
mhpA,b0347
mhpB,b0348
mhpC,b0349
mhpD,b0350
mhpF,b0351
mhpE,b0352
mhpT,b0353
yaiL,b0354
frmB,b0355
frmA,b0356
frmR,b0357
yaiO,b0358
yaiX,b4579
insC1_0,b0360
insD1_0,b0361
yaiP,b0363
yaiS,b0364
tauA,b0365
tauB,b0366
tauC,b0367
tauD,b0368
hemB,b0369
yaiT,b4580
insF1_1,b0372
insE1_1,b0373
yaiV,b0375
ampH,b0376
sbmA,b0377
yaiW,b0378
yaiY,b0379
yaiZ,b0380
ddlA,b0381
iraP,b0382
phoA,b0383
psiF,b0384
yaiC,b0385
proC,b0386
yaiI,b0387
aroL,b0388
yaiA,b0389
aroM,b0390
yaiE,b0391
ykiA,b0392
rdgC,b0393
mak,b0394
araJ,b0396
sbcC,b0397
sbcD,b0398
phoB,b0399
phoR,b0400
brnQ,b0401
proY,b0402
malZ,b0403
acpH,b0404
queA,b0405
tgt,b0406
yajC,b0407
secD,b0408
secF,b0409
yajD,b0410
tsx,b0411
yajI,b0412
nrdR,b0413
ribD,b0414
ribE,b0415
nusB,b0416
thiL,b0417
pgpA,b0418
yajO,b0419
dxs,b0420
ispA,b0421
xseB,b0422
thiI,b0423
yajL,b0424
panE,b0425
yajQ,b0426
yajR,b0427
cyoE,b0428
cyoD,b0429
cyoC,b0430
cyoB,b0431
cyoA,b0432
ampG,b0433
yajG,b0434
bolA,b0435
tig,b0436
clpP,b0437
clpX,b0438
lon,b0439
hupB,b0440
ppiD,b0441
ybaV,b0442
fadM,b0443
queC,b0444
ybaE,b0445
cof,b0446
ybaO,b0447
mdlA,b0448
mdlB,b0449
glnK,b0450
amtB,b0451
tesB,b0452
ybaY,b0453
ybaZ,b0454
ffs,b0455
ybaA,b0456
ylaB,b0457
ylaC,b0458
maa,b0459
hha,b0460
tomB,b0461
acrB,b0462
acrA,b0463
acrR,b0464
mscK,b0465
ybaM,b0466
priC,b0467
ybaN,b0468
apt,b0469
dnaX,b0470
ybaB,b0471
recR,b0472
htpG,b0473
adk,b0474
hemH,b0475
aes,b0476
gsk,b0477
ybaL,b0478
fsr,b0479
ushA,b0480
ybaK,b0481
chiX,b4585
ybaP,b0482
ybaQ,b0483
copA,b0484
glsA,b0485
ybaT,b0486
cueR,b0487
ybbJ,b0488
qmcA,b0489
fetA,b0490
fetB,b0491
ybbN,b0492
ybbO,b0493
tesA,b0494
ybbA,b0495
ybbP,b0496
rhsD,b0497
ybbC,b0498
rhsH,b0499
ybbD,b0501
ylbI,b4632
ylbG,b0502
mnmH,b0503
allS,b0504
allA,b0505
allR,b0506
gcl,b0507
hyi,b0508
glxR,b0509
ybbW,b0511
allB,b0512
ybbY,b0513
glxK,b0514
allE,b0515
allC,b0516
allD,b0517
fdrA,b0518
ylbE,b4572
ylbF,b0520
ybcF,b0521
purK,b0522
purE,b0523
lpxH,b0524
ppiB,b0525
cysS,b0526
ybcI,b0527
ybcJ,b0528
folD,b0529
sfmA,b0530
sfmC,b0531
sfmD,b0532
sfmH,b0533
sfmF,b0534
sfmZ,b0535
argU,b0536
intD,b0537
xisD,b4633
exoD,b0539
peaD,b4508
renD,b0542
insE1_2,b0540
insF1_2,b0541
emrE,b0543
ybcK,b0544
ybcL,b0545
ybcM,b0546
ylcH,b4588
ybcN,b0547
ninE,b0548
ybcO,b0549
rusA,b0550
ylcG,b4509
quuD,b0551
nmpC,b0553
insH1_1,b0552
essD,b0554
rrrD,b0555
rzpD,b0556
rzoD,b4510
borD,b0557
ybcV,b0558
ybcW,b0559
ylcI,b4589
nohD,b0560
aaaD,b4634
tfaD,b0561
ybcY,b0562
tfaX,b0563
appY,b0564
ompT,b0565
pauD,b4635
envY,b0566
ybcH,b0567
nfrA,b0568
nfrB,b0569
cusS,b0570
cusR,b0571
cusC,b0572
cusF,b0573
cusB,b0574
cusA,b0575
pheP,b0576
ybdG,b0577
nfsB,b0578
ybdF,b0579
ybdJ,b0580
ybdK,b0581
sokE,b4700
hokE,b4415
insL1_1,b0582
entD,b0583
fepA,b0584
fes,b0585
ybdZ,b4511
entF,b0586
fepE,b0587
fepC,b0588
fepG,b0589
fepD,b0590
entS,b0591
fepB,b0592
entC,b0593
entE,b0594
entB,b0595
entA,b0596
entH,b0597
cstA,b0598
ybdD,b4512
ybdH,b0599
ybdL,b0600
ybdM,b0601
ybdN,b0602
ybdO,b0603
dsbG,b0604
ahpC,b0605
ahpF,b0606
uspG,b0607
ybdR,b0608
rnk,b0610
rna,b0611
citT,b0612
citG,b0613
citX,b0614
citF,b0615
citE,b0616
citD,b0617
citC,b0618
citA,b0619
citB,b0620
dcuC,b0621
pagP,b0622
cspE,b0623
flc,b0624
ybeM,b4581
tatE,b0627
lipA,b0628
ybeF,b0629
lipB,b0630
ybeD,b0631
dacA,b0632
rlpA,b0633
mrdB,b0634
mrdA,b0635
rlmH,b0636
rsfS,b0637
cobC,b0638
nadD,b0639
holA,b0640
lptE,b0641
leuS,b0642
ybeL,b0643
ybeQ,b0644
ybeR,b0645
djlB,b0646
ybeT,b0647
ybeU,b0648
djlC,b0649
hscC,b0650
rihA,b0651
gltL,b0652
gltK,b0653
gltJ,b0654
gltI,b0655
insH1_2,b0656
lnt,b0657
ybeX,b0658
ybeY,b0659
ybeZ,b0660
miaB,b0661
ubiF,b0662
glnX,b0664
glnV,b0665
metU,b0666
glnW,b0668
glnU,b0670
leuW,b0672
metT,b0673
asnB,b0674
umpH,b0675
nagC,b0676
nagA,b0677
nagB,b0678
nagE,b0679
glnS,b0680
chiP,b0681
chiQ,b0682
fur,b0683
uof,b4637
fldA,b0684
ybfE,b0685
ybfF,b0686
seqA,b0687
pgm,b0688
ybfP,b0689
ybfG,b0691
ybfI,b4636
potE,b0692
speF,b0693
ybfK,b4590
kdpE,b0694
kdpD,b0695
kdpC,b0696
kdpB,b0697
kdpA,b0698
kdpF,b4513
ybfA,b0699
rhsC,b0700
ybfB,b0702
rhsO,b0703
ybfC,b0704
ybfQ,b4514
ybfL,b0705
ybfD,b0706
ybgA,b0707
phr,b0708
dtpD,b0709
ybgI,b0710
ybgJ,b0711
ybgK,b0712
ybgL,b0713
nei,b0714
abrB,b0715
ybgO,b0716
ybgP,b0717
ybgQ,b0718
ybgD,b0719
gltA,b0720
sdhC,b0721
sdhD,b0722
sdhA,b0723
sdhB,b0724
sucA,b0726
sucB,b0727
sucC,b0728
sucD,b0729
mngR,b0730
mngA,b0731
mngB,b0732
cydA,b0733
cydB,b0734
cydX,b4515
ybgE,b0735
ybgC,b0736
tolQ,b0737
tolR,b0738
tolA,b0739
tolB,b0740
pal,b0741
ybgF,b0742
lysT,b0743
valT,b0744
lysW,b0745
valZ,b0746
lysY,b0747
lysZ,b0748
lysQ,b0749
nadA,b0750
pnuC,b0751
zitB,b0752
ybgS,b0753
aroG,b0754
gpmA,b0755
galM,b0756
galK,b0757
galT,b0758
galE,b0759
modF,b0760
modE,b0761
acrZ,b0762
modA,b0763
modB,b0764
modC,b0765
ybhA,b0766
pgl,b0767
ybhD,b0768
ybhH,b0769
ybhI,b0770
ybhJ,b0771
ybhC,b0772
ybhB,b0773
bioA,b0774
bioB,b0775
bioF,b0776
bioC,b0777
bioD,b0778
uvrB,b0779
ybhK,b0780
moaA,b0781
moaB,b0782
moaC,b0783
moaD,b0784
moaE,b0785
ybhL,b0786
ybhM,b0787
ybhN,b0788
clsB,b0789
ybhP,b0790
ybhQ,b0791
ybhR,b0792
ybhS,b0793
ybhF,b0794
ybhG,b0795
ybiH,b0796
rhlE,b0797
ybiA,b0798
dinG,b0799
ybiB,b0800
ybiC,b0801
ybiJ,b0802
ybiI,b0803
ybiX,b0804
fiu,b0805
mcbA,b0806
rlmF,b0807
ybiO,b0808
glnQ,b0809
glnP,b0810
glnH,b0811
dps,b0812
rhtA,b0813
ompX,b0814
opgE,b0815
mntS,b4705
mntR,b0817
ybiR,b0818
ldtB,b0819
ybiT,b0820
ybiU,b0821
ybiV,b0822
ybiW,b0823
ybiY,b0824
fsaA,b0825
moeB,b0826
moeA,b0827
iaaA,b0828
gsiA,b0829
gsiB,b0830
gsiC,b0831
gsiD,b0832
yliE,b0833
yliF,b0834
rimO,b0835
bssR,b0836
yliI,b0837
gstB,b0838
dacC,b0839
deoR,b0840
ybjG,b0841
mdfA,b0842
ybjH,b0843
ybjI,b0844
ybjJ,b0845
rcdA,b0846
rybB,b4417
ybjL,b0847
ybjM,b0848
grxA,b0849
ybjC,b0850
nfsA,b0851
rimK,b0852
ybjN,b0853
potF,b0854
potG,b0855
potH,b0856
potI,b0857
ybjO,b0858
rlmC,b0859
artJ,b0860
artM,b0861
artQ,b0862
artI,b0863
artP,b0864
ybjP,b0865
ybjQ,b0866
amiD,b0867
ybjS,b0868
ybjT,b0869
ltaE,b0870
poxB,b0871
hcr,b0872
hcp,b0873
ybjE,b0874
aqpZ,b0875
ybjD,b0876
ybjX,b0877
macA,b0878
macB,b0879
cspD,b0880
clpS,b0881
clpA,b0882
serW,b0883
infA,b0884
aat,b0885
cydC,b0886
cydD,b0887
trxB,b0888
lrp,b0889
ftsK,b0890
lolA,b0891
rarA,b0892
serS,b0893
dmsA,b0894
dmsB,b0895
dmsC,b0896
ycaC,b0897
ycaD,b0898
ycaM,b0899
ycaN,b0900
ycaK,b0901
pflA,b0902
pflB,b0903
focA,b0904
ycaO,b0905
ycaP,b0906
serC,b0907
aroA,b0908
ycaL,b0909
cmk,b0910
rpsA,b0911
ihfB,b0912
ycaI,b0913
msbA,b0914
lpxK,b0915
ycaQ,b0916
ycaR,b0917
kdsB,b0918
ycbJ,b0919
elyC,b0920
smtA,b0921
mukF,b0922
mukE,b0923
mukB,b0924
ldtD,b0925
ycbK,b0926
ycbL,b0927
aspC,b0928
ompF,b0929
asnS,b0930
pncB,b0931
pepN,b0932
ssuB,b0933
ssuC,b0934
ssuD,b0935
ssuA,b0936
ssuE,b0937
elfA,b0938
elfD,b0939
elfC,b0940
elfG,b0941
ycbU,b0942
ycbV,b0943
ycbF,b0944
pyrD,b0945
zapC,b0946
ycbX,b0947
rlmL,b0948
uup,b0949
pqiA,b0950
pqiB,b0951
pqiC,b0952
rmf,b0953
fabA,b0954
ycbZ,b0955
matP,b0956
ompA,b0957
sulA,b0958
sxy,b0959
yccS,b0960
yccF,b0961
helD,b0962
mgsA,b0963
yccT,b0964
yccU,b0965
hspQ,b0966
rlmI,b0967
yccX,b0968
tusE,b0969
yccA,b0970
serT,b0971
hyaA,b0972
hyaB,b0973
hyaC,b0974
hyaD,b0975
hyaE,b0976
hyaF,b0977
cbdA,b0978
cbdB,b0979
cbdX,b4592
appA,b0980
etk,b0981
etp,b0982
gfcE,b0983
gfcD,b0984
gfcC,b0985
gfcB,b0986
gfcA,b0987
insA_3,b4516
insB1_3,b0988
cspH,b0989
cspG,b0990
ymcE,b0991
gnsA,b4517
yccM,b0992
torS,b0993
torT,b0994
torR,b0995
torC,b0996
torA,b0997
torD,b0998
cbpM,b0999
cbpA,b1000
yccE,b1001
agp,b1002
yccJ,b1003
wrbA,b1004
ymdF,b4518
rutG,b1006
rutF,b1007
rutE,b1008
rutD,b1009
rutC,b1010
rutB,b1011
rutA,b1012
rutR,b1013
putA,b1014
putP,b1015
efeU,b4490
efeO,b1018
efeB,b1019
phoH,b1020
pgaD,b1021
pgaC,b1022
pgaB,b1023
pgaA,b1024
ycdT,b1025
insF1_3,b1026
insE1_3,b1027
ymdE,b1028
ycdU,b1029
serX,b1032
ghrA,b1033
ycdX,b1034
ycdY,b1035
ycdZ,b1036
csgG,b1037
csgF,b1038
csgE,b1039
csgD,b1040
csgB,b1041
csgA,b1042
csgC,b1043
ymdA,b1044
ymdB,b1045
clsC,b1046
opgC,b1047
opgG,b1048
opgH,b1049
yceK,b1050
msyB,b1051
mdtG,b1053
lpxL,b1054
yceA,b1055
yceI,b1056
yceJ,b1057
yceO,b1058
solA,b1059
bssS,b1060
dinI,b1061
pyrC,b1062
yceB,b1063
grxB,b1064
mdtH,b1065
rimJ,b1066
yceH,b1067
yceM,b1068
murJ,b1069
flgN,b1070
flgM,b1071
flgA,b1072
flgB,b1073
flgC,b1074
flgD,b1075
flgE,b1076
flgF,b1077
flgG,b1078
flgH,b1079
flgI,b1080
flgJ,b1081
flgK,b1082
flgL,b1083
rne,b1084
yceQ,b1085
rluC,b1086
yceF,b1087
psrD,b4418
yceD,b1088
rpmF,b1089
plsX,b1090
fabH,b1091
fabD,b1092
fabG,b1093
acpP,b1094
fabF,b1095
pabC,b1096
yceG,b1097
tmk,b1098
holB,b1099
ycfH,b1100
ptsG,b1101
fhuE,b1102
hinT,b1103
ycfL,b1104
lpoB,b1105
thiK,b1106
nagZ,b1107
ycfP,b1108
ndh,b1109
ycfJ,b1110
ycfQ,b1111
bhsA,b1112
ldtC,b1113
mfd,b1114
ycfT,b1115
lolC,b1116
lolD,b1117
lolE,b1118
nagK,b1119
cobB,b1120
ycfZ,b1121
ymfA,b1122
potD,b1123
potC,b1124
potB,b1125
potA,b1126
pepT,b1127
roxA,b1128
phoQ,b1129
phoP,b1130
purB,b1131
hflD,b1132
mnmA,b1133
nudJ,b1134
rluE,b1135
icd,b1136
ymfD,b1137
ymfE,b1138
lit,b1139
intE,b1140
xisE,b1141
ymfI,b1143
ymfJ,b1144
cohE,b1145
croE,b1146
ymfL,b1147
ymfM,b1148
oweE,b4692
aaaE,b4693
ymfR,b1150
beeE,b1151
jayE,b1152
ymfQ,b1153
stfP,b1154
tfaP,b1155
tfaE,b1156
stfE,b1157
pinE,b1158
mcrA,b1159
icdC,b4519
iraM,b1160
ycgX,b1161
bluR,b1162
bluF,b1163
ycgZ,b1164
ymgA,b1165
ariR,b1166
ymgC,b1167
ycgG,b1168
ymgF,b4520
ycgH,b4491
ymgD,b1171
ymgG,b1172
ymgI,b4593
ymgJ,b4594
ycgI,b4521
minE,b1174
minD,b1175
minC,b1176
ycgJ,b1177
pliG,b1178
ycgL,b1179
ycgM,b1180
ycgN,b1181
hlyE,b1182
umuD,b1183
umuC,b1184
dsbB,b1185
nhaB,b1186
fadR,b1187
ycgB,b1188
dadA,b1189
dadX,b1190
cvrA,b1191
ldcA,b1192
emtA,b1193
ycgR,b1194
ymgE,b1195
ycgY,b1196
treA,b1197
dhaM,b1198
dhaL,b1199
dhaK,b1200
dhaR,b1201
ycgV,b1202
ychF,b1203
pth,b1204
ychH,b1205
dauA,b1206
prs,b1207
ispE,b1208
lolB,b1209
hemA,b1210
prfA,b1211
prmC,b1212
ychQ,b1213
ychA,b1214
kdsA,b1215
ldrA,b4419
rdlA,b4420
ldrB,b4421
rdlB,b4422
ldrC,b4423
rdlC,b4424
chaA,b1216
chaB,b1217
chaC,b1218
ychN,b1219
ychO,b1220
narL,b1221
narX,b1222
narK,b1223
narG,b1224
narH,b1225
narJ,b1226
narI,b1227
rttR,b4425
tpr,b1229
tyrV,b1230
tyrT,b1231
purU,b1232
ychJ,b1233
rssA,b1234
rssB,b1235
galU,b1236
hns,b1237
tdk,b1238
insZ,b4573
adhE,b1241
ychE,b1242
oppA,b1243
oppB,b1244
oppC,b1245
oppD,b1246
oppF,b1247
yciU,b1248
clsA,b1249
yciY,b4595
kch,b1250
yciI,b1251
tonB,b1252
yciA,b1253
yciB,b1254
yciC,b1255
ompW,b1256
yciE,b1257
yciF,b1258
yciG,b1259
trpA,b1260
trpB,b1261
trpC,b1262
trpD,b1263
trpE,b1264
trpL,b1265
yciV,b1266
yciO,b1267
yciQ,b1268
rluB,b1269
btuR,b1270
yciK,b1271
sohB,b1272
yciN,b1273
topA,b1274
cysB,b1275
ymiA,b4522
yciX,b4523
acnA,b1276
ribA,b1277
pgpB,b1278
yciS,b1279
yciM,b1280
pyrF,b1281
yciH,b1282
osmB,b1283
yciT,b1284
yciZ,b4596
gmr,b1285
ymiB,b4672
rnb,b1286
yciW,b1287
fabI,b1288
ycjD,b1289
sapF,b1290
sapD,b1291
sapC,b1292
sapB,b1293
sapA,b1294
ymjA,b1295
puuP,b1296
puuA,b1297
puuD,b1298
puuR,b1299
puuC,b1300
puuB,b1301
puuE,b1302
pspF,b1303
pspA,b1304
pspB,b1305
pspC,b1306
pspD,b1307
pspE,b1308
ycjM,b1309
ycjN,b1310
ycjO,b1311
ycjP,b1312
ycjQ,b1313
ycjR,b1314
ycjS,b1315
ycjT,b1316
ycjU,b1317
ycjV,b4524
ompG,b1319
ycjW,b1320
ycjX,b1321
ycjF,b1322
tyrR,b1323
tpx,b1324
ycjG,b1325
mpaA,b1326
ymjC,b4525
ymjD,b4673
ycjY,b1327
pgrR,b1328
mppA,b1329
ynaI,b1330
insH1_3,b1331
ynaJ,b1332
uspE,b1333
fnr,b1334
ogt,b1335
abgT,b1336
abgB,b1337
abgA,b1338
abgR,b1339
mcaS,b4426
smrA,b1340
ydaM,b1341
ydaN,b1342
fnrS,b4699
dbpA,b1343
ttcA,b1344
intR,b1345
ydaQ,b1346
ydaC,b1347
ralR,b1348
recT,b1349
recE,b1350
racC,b1351
ydaE,b4526
kilR,b1352
sieB,b1353
ydaF,b4527
ydaG,b1355
racR,b1356
ydaS,b1357
ydaT,b1358
ydaU,b1359
ydaV,b1360
ydaW,b1361
rzpR,b1362
rzoR,b4528
trkG,b1363
ynaK,b1365
ydaY,b1366
tmpR,b1368
lomR,b4570
insH1_4,b1370
stfR,b1372
tfaR,b1373
pinR,b1374
ynaE,b1375
ttcC,b4638
uspF,b1376
ompN,b1377
micC,b4427
pfo,b1378
ydbJ,b4529
hslJ,b1379
ldhA,b1380
ydbH,b1381
ynbE,b1382
ydbL,b1383
feaR,b1384
feaB,b1385
tynA,b1386
paaZ,b1387
paaA,b1388
paaB,b1389
paaC,b1390
paaD,b1391
paaE,b1392
paaF,b1393
paaG,b1394
paaH,b1395
paaI,b1396
paaJ,b1397
paaK,b1398
paaX,b1399
paaY,b1400
ynbG,b4674
ydbA,b4492
insD1_1,b1402
insC1_1,b1403
insI1_2,b1404
ydbC,b1406
ydbD,b1407
ynbA,b1408
ynbB,b1409
ynbC,b1410
ynbD,b1411
azoR,b1412
hrpA,b1413
ydcF,b1414
aldA,b1415
gapC,b4493
cybB,b1418
rydC,b4597
ydcA,b1419
hokB,b4428
mokB,b1420
sokB,b4429
trg,b1421
ydcI,b1422
ydcJ,b1423
opgD,b1424
ydcH,b1426
rimL,b1427
ydcK,b1428
tehA,b1429
tehB,b1430
ydcL,b1431
insP,b4578
insQ,b1432
ydcO,b1433
ydcN,b1434
ydcP,b1435
yncJ,b1436
hicA,b4532
hicB,b1438
ydcR,b1439
ydcS,b1440
ydcT,b1441
ydcU,b1442
ydcV,b1443
patD,b1444
yncL,b4598
ydcX,b1445
ydcY,b1446
ydcZ,b1447
mnaT,b1448
curA,b1449
mcbR,b1450
yncD,b1451
yncE,b1452
ansP,b1453
yncG,b1454
yncH,b1455
rhsE,b1456
ydcD,b1457
yncI,b1459
ydcC,b1460
pptA,b1461
yddH,b1462
nhoA,b1463
yddE,b1464
narV,b1465
narW,b1466
narY,b1467
narZ,b1468
narU,b1469
yddK,b1471
yddL,b1472
yddG,b1473
fdnG,b1474
fdnH,b1475
fdnI,b1476
yddM,b1477
adhP,b1478
maeA,b1479
sra,b1480
bdm,b1481
osmC,b1482
ddpF,b1483
ddpD,b1484
ddpC,b1485
ddpB,b1486
ddpA,b1487
ddpX,b1488
dosP,b1489
dosC,b1490
yddW,b1491
gadC,b1492
gadB,b1493
pqqL,b1494
yddB,b1495
yddA,b1496
ydeM,b1497
ydeN,b1498
ydeO,b1499
safA,b1500
ydeP,b1501
ydeQ,b1502
ydeR,b1503
ydeS,b1504
ydeT,b1505
yneL,b1506
hipA,b1507
hipB,b1508
yneO,b4696
lsrK,b1511
lsrR,b1512
lsrA,b1513
lsrC,b1514
lsrD,b1515
lsrB,b1516
lsrF,b1517
lsrG,b1518
tam,b1519
yneE,b1520
uxaB,b1521
yneF,b1522
yneG,b1523
glsB,b1524
sad,b1525
yneJ,b1526
yneK,b1527
ydeA,b1528
marC,b1529
marR,b1530
marA,b1531
marB,b1532
eamA,b1533
ydeE,b1534
yneM,b4599
mgrR,b4698
dgcZ,b1535
ydeI,b1536
ydeJ,b1537
dcp,b1538
ydfG,b1539
rspR,b1540
ydfZ,b1541
ydfI,b1542
ydfJ,b4600
ydfK,b1544
pinQ,b1545
tfaQ,b1546
stfQ,b1547
nohQ,b1548
ynfO,b4533
ydfO,b1549
gnsB,b1550
ynfN,b1551
cspI,b1552
rzpQ,b1553
rzoQ,b4689
rrrQ,b1554
ydfR,b1555
essQ,b1556
cspB,b1557
cspF,b1558
quuQ,b1559
ydfU,b1560
rem,b1561
hokD,b1562
relE,b1563
relB,b1564
ydfV,b1565
flxA,b1566
intK,b1567
ydfX,b1568
dicC,b1569
dicA,b1570
ydfA,b1571
ydfB,b1572
ydfC,b1573
dicF,b1574
dicB,b1575
ydfD,b1576
ydfE,b1577
insD1_2,b1578
intQ,b1579
rspB,b1580
rspA,b1581
ynfA,b1582
ynfB,b1583
speG,b1584
ynfC,b1585
ynfD,b1586
ynfE,b1587
ynfF,b1588
ynfG,b1589
ynfH,b1590
dmsD,b1591
clcB,b1592
ynfK,b1593
mlc,b1594
ynfL,b1595
ynfM,b1596
asr,b1597
ydgU,b4601
ydgD,b1598
mdtI,b1599
mdtJ,b1600
tqsA,b1601
pntB,b1602
pntA,b1603
ydgH,b1604
ydgI,b1605
folM,b1606
ydgC,b1607
rstA,b1608
rstB,b1609
tus,b1610
fumC,b1611
fumA,b1612
manA,b1613
ydgA,b1614
uidC,b1615
uidB,b1616
uidA,b1617
uidR,b1618
hdhA,b1619
malI,b1620
malX,b1621
malY,b1622
add,b1623
ydgJ,b1624
blr,b4409
cnu,b1625
ydgK,b1626
rsxA,b1627
rsxB,b1628
rsxC,b1629
rsxD,b1630
rsxG,b1631
rsxE,b1632
nth,b1633
dtpA,b1634
