gene,locus
thrL,b0001
thrA,b0002
thrB,b0003
thrC,b0004
yaaX,b0005
yaaA,b0006
yaaJ,b0007
talB,b0008
mog,b0009
satP,b0010
yaaW,b0011
yaaI,b0013
dnaK,b0014
dnaJ,b0015
insL1_0,b0016
mokC,b0018
hokC,b4412
sokC,b4413
nhaA,b0019
nhaR,b0020
insB1_0,b0021
insA_0,b0022
rpsT,b0023
yaaY,b0024
ribF,b0025
ileS,b0026
lspA,b0027
fkpB,b0028
ispH,b0029
rihC,b0030
dapB,b0031
carA,b0032
carB,b0033
caiF,b0034
caiE,b0035
caiD,b0036
caiC,b0037
caiB,b0038
caiA,b0039
caiT,b0040
fixA,b0041
fixB,b0042
fixC,b0043
fixX,b0044
yaaU,b0045
kefF,b0046
kefC,b0047
folA,b0048
apaH,b0049
apaG,b0050
rsmA,b0051
pdxA,b0052
surA,b0053
lptD,b0054
djlA,b0055
yabP,b4659
rluA,b0058
rapA,b0059
polB,b0060
araD,b0061
araA,b0062
araB,b0063
araC,b0064
yabI,b0065
thiQ,b0066
thiP,b0067
thiB,b0068
sgrR,b0069
sgrS,b4577
sgrT,b4662
setA,b0070
leuD,b0071
leuC,b0072
leuB,b0073
leuA,b0074
leuL,b0075
leuO,b0076
ilvI,b0077
ilvH,b0078
cra,b0080
mraZ,b0081
rsmH,b0082
ftsL,b0083
ftsI,b0084
murE,b0085
murF,b0086
mraY,b0087
murD,b0088
ftsW,b0089
murG,b0090
murC,b0091
ddlB,b0092
ftsQ,b0093
ftsA,b0094
ftsZ,b0095
lpxC,b0096
secM,b0097
secA,b0098
mutT,b0099
yacG,b0101
zapD,b0102
coaE,b0103
guaC,b0104
hofC,b0106
hofB,b0107
ppdD,b0108
nadC,b0109
ampD,b0110
ampE,b0111
aroP,b0112
pdhR,b0113
aceE,b0114
aceF,b0115
lpd,b0116
yacH,b0117
acnB,b0118
yacL,b0119
speD,b0120
speE,b0121
yacC,b0122
cueO,b0123
gcd,b0124
hpt,b0125
can,b0126
yadG,b0127
yadH,b0128
yadI,b0129
yadE,b0130
panD,b0131
yadD,b0132
panC,b0133
panB,b0134
yadC,b0135
yadK,b0136
yadL,b0137
yadM,b0138
htrE,b0139
yadV,b0140
yadN,b0141
folK,b0142
pcnB,b0143
gluQ,b0144
dksA,b0145
sfsA,b0146
ligT,b0147
hrpB,b0148
mrcB,b0149
fhuA,b0150
fhuC,b0151
fhuD,b0152
fhuB,b0153
hemL,b0154
clcA,b0155
erpA,b0156
yadS,b0157
btuF,b0158
mtn,b0159
dgt,b0160
degP,b0161
cdaR,b0162
yaeH,b0163
yaeI,b0164
dapD,b0166
glnD,b0167
map,b0168
tff,b4414
rpsB,b0169
tsf,b0170
pyrH,b0171
frr,b0172
dxr,b0173
ispU,b0174
cdsA,b0175
rseP,b0176
bamA,b0177
skp,b0178
lpxD,b0179
fabZ,b0180
lpxA,b0181
lpxB,b0182
rnhB,b0183
dnaE,b0184
accA,b0185
ldcC,b0186
yaeR,b0187
tilS,b0188
rof,b0189
yaeP,b4406
yaeQ,b0190
arfB,b0191
nlpE,b0192
yaeF,b0193
proS,b0194
tsaA,b0195
rcsF,b0196
metQ,b0197
metI,b0198
metN,b0199
gmhB,b0200
rrsH,b0201
ileV,b0202
alaV,b0203
rrlH,b0204
rrfH,b0205
aspU,b0206
dkgB,b0207
yafC,b0208
yafD,b0209
yafE,b0210
mltD,b0211
gloB,b0212
yafS,b0213
rnhA,b0214
dnaQ,b0215
aspV,b0216
yafT,b0217
ykfM,b4586
yafU,b0218
yafF,b4503
yafV,b0219
ivy,b0220
fadE,b0221
gmhA,b0222
yafJ,b0223
yafK,b0224
yafQ,b0225
dinJ,b0226
yafL,b0227
rayT,b0228
lfhA,b0229
lafU,b0230
dinB,b0231
yafN,b0232
yafO,b0233
yafP,b0234
ykfJ,b0235
prfH,b0236
pepD,b0237
gpt,b0238
frsA,b0239
crl,b0240
phoE,b0241
proB,b0242
