Growth condition,Strain,Growth rate (h-1),Stdev,Single cell volume [fl]1,Doubling time (h-1),Time exp before harvest (h),# of doublings at exponential growth before harvesting,ex_rxn
Acetate,BW25113,0.3,0.04,2.3,2.3,29.3,12.7,EX_ac_e
Fumarate,BW25113,0.42,0.02,2.54,1.7,25.4,15.2,EX_fum_e
Galactose,BW25113,0.26,0.003,2.21,2.7,52.1,19.2,EX_gal_e
Glucose,BW25113,0.58,0.01,2.84,1.2,22.7,19.1,EX_glc__D_e
Glucosamine,BW25113,0.46,0.02,2.62,1.5,2.4,1.6,EX_gam_e
Glycerol,BW25113,0.47,0.01,2.64,1.5,26.8,18.3,EX_glyc_e
Pyruvate,BW25113,0.4,0.01,2.5,1.7,25.2,14.4,EX_pyr_e
Succinate,BW25113,0.44,0.003,2.58,1.6,24.4,15.4,EX_succ_e
Fructose,BW25113,0.65,0.004,2.96,1.1,5,4.7,EX_fru_e
Mannose,BW25113,0.47,0.01,2.64,1.5,24.9,16.8,EX_man_e
Xylose,BW25113,0.55,0.01,2.79,1.3,18,14.3,EX_xyl__D_e
Chemostat.mu.0.12,BW25113,0.12,0.0,1.9,5.8,after >6 volume changes,after >6 volume changes,EX_glc__D_e
Chemostat.mu.0.20,BW25113,0.2,0.0,2.08,3.5,after >6 volume changes,after >6 volume changes,EX_glc__D_e
Chemostat.mu.0.35,BW25113,0.35,0.0,2.4,2,after >6 volume changes,after >6 volume changes,EX_glc__D_e
Chemostat.mu.0.5,BW25113,0.5,0.0,2.69,1.4,after >6 volume changes,after >6 volume changes,EX_glc__D_e
