flux,rxn,vmeas
0.0,2AGPEAT120,0.0
0.0,2AGPEAT140,0.0
0.0,2AGPEAT141,0.0
0.0,2AGPEAT160,0.0
0.0,2AGPEAT161,0.0
0.0,2AGPEAT180,0.0
0.0,2AGPEAT181,0.0
0.0,2AGPGAT120,0.0
0.0,2AGPGAT140,0.0
0.0,2AGPGAT141,0.0
0.0,2AGPGAT160,0.0
0.0,2AGPGAT161,0.0
0.0,2AGPGAT180,0.0
0.0,2AGPGAT181,0.0
0.0,2DGULRGx,0.0
0.0,2DGULRGy,0.0
0.0,2DGULRx,0.0
0.0,2DGULRy,0.0
0.0,2MAHMP,0.0
0.0,3AMACHYD,0.0
0.0,3HAD100,0.0
0.0,3HAD120,0.0
0.0,3HAD121,0.0
0.0,3HAD140,0.0
0.0,3HAD141,0.0
0.0,3HAD160,0.0
0.0,3HAD161,0.0
0.0,3HAD180,0.0
0.0,3HAD181,0.0
0.0,3HAD40,0.0
0.0,3HAD60,0.0
0.0,3HAD80,0.0
0.0,3HCINNMH,0.0
0.0,3HPPPNH,0.0
0.0,3KGK,0.0
0.0,3OAR100,0.0
0.0,3OAR120,0.0
0.0,3OAR121,0.0
0.05497580542999003,3OAR140,0.06183815292368292
0.0,3OAR141,0.0
0.0,3OAR160,0.0
0.0,3OAR161,0.0
0.0,3OAR180,0.0
0.0,3OAR181,0.0
0.0,3OAR40,0.0
0.0,3OAR60,0.0
0.0,3OAR80,0.0
0.0,3OAS100,0.0
0.0,3OAS120,0.0
0.0,3OAS121,0.0
0.05497580543002759,3OAS140,0.060265566668441455
0.0,3OAS141,0.0
0.0,3OAS160,0.0
0.0,3OAS161,0.0
0.0,3OAS180,0.0
0.0,3OAS181,0.0
0.0,3OAS60,0.0
0.0,3OAS80,0.0
0.0,3OXCOAT,0.0
0.0,4HTHRS,0.0
0.0,4PCP,0.0
0.0,5DGLCNR,0.0
0.00015894269405011574,5DOAN,0.00016253125595319892
0.02748790271505186,A5PISO,0.02234097783370904
0.0,AACPS1,0.0
0.0,AACPS2,0.0
0.0901579473610141,AACPS3,0.07794646551987507
0.10626414035809251,AACPS4,0.12631033742874093
0.0,AACPS5,0.0
0.0,AACPS6,0.0
0.05497580543002759,AACPS7,0.03909423035968755
0.0,AACPS8,0.0
0.0,AACPS9,0.0
