locus,mf,condition,Growth rate (h-1)
b0439,0.0006446812146440569,Glucose,0.58
b4069,0.0004649519063190476,Glucose,0.58
b1702,0.000656402691273949,Glucose,0.58
b2507,0.001472998896489753,Glucose,0.58
b0924,0.00021919161297897976,Glucose,0.58
b4391,0.001039304261183751,Glucose,0.58
b3699,0.0004923020184554615,Glucose,0.58
b1084,0.0006485883735206877,Glucose,0.58
b1719,0.0004493232708125248,Glucose,0.58
b2926,0.010666543733201639,Glucose,0.58
b1761,0.0019965581859582625,Glucose,0.58
b2551,0.0071891723330003935,Glucose,0.58
b1243,0.0022700593073224024,Glucose,0.58
b0095,0.0015863065039120393,Glucose,0.58
b4014,0.0017152427468408544,Glucose,0.58
b2283,0.0006056096258777508,Glucose,0.58
b2763,0.001250290840521805,Glucose,0.58
b3863,0.00029381834752262466,Glucose,0.58
b1779,0.010822830088266925,Glucose,0.58
b4006,0.0010119541490473379,Glucose,0.58
b3708,0.00020981443167506555,Glucose,0.58
b1276,0.0003770408315948578,Glucose,0.58
b2286,0.0004141588409228484,Glucose,0.58
b3870,0.006017024670011202,Glucose,0.58
b0074,0.0010080469901707035,Glucose,0.58
b3588,0.00021489373821468566,Glucose,0.58
b2133,0.00025474675875631855,Glucose,0.58
b2976,0.00014729988964897527,Glucose,0.58
b0720,0.003008512335005601,Glucose,0.58
b0606,0.0008869250649951575,Glucose,0.58
b0957,0.0288348325095342,Glucose,0.58
b3729,0.001746500017853902,Glucose,0.58
b0194,0.0017855716066202088,Glucose,0.58
b3317,0.0027467326902713457,Glucose,0.58
b2234,0.0003008512335005601,Glucose,0.58
b3498,0.0006759384856571026,Glucose,0.58
b2530,0.003985302054163266,Glucose,0.58
b3426,4.962091773320922e-05,Glucose,0.58
b3734,0.005196521305918764,Glucose,0.58
b2764,0.0014261129899701863,Glucose,0.58
b3178,0.0010236756256772317,Glucose,0.58
b3783,0.0009885111957875499,Glucose,0.58
b2942,0.0033992282226686615,Glucose,0.58
b2508,0.0037899441103317315,Glucose,0.58
b0484,0.00157849218615878,Glucose,0.58
b3169,0.001984836709328369,Glucose,0.58
b3295,0.003450021288064862,Glucose,0.58
b2890,0.000957253924774512,Glucose,0.58
b2114,0.001027582784553857,Glucose,0.58
b2029,0.004688590651956782,Glucose,0.58
b2150,0.0007462673454364542,Glucose,0.58
b3460,0.005821666726179667,Glucose,0.58
b4019,0.0003711800932799117,Glucose,0.58
b3236,0.011135402798397306,Glucose,0.58
b3871,0.0013167125414245248,Glucose,0.58
b1614,0.0004297874764293713,Glucose,0.58
b0150,0.0004649519063190476,Glucose,0.58
b0441,0.0004649519063190476,Glucose,0.58
b1286,0.0005938881492478587,Glucose,0.58
b0680,0.00041025168204621783,Glucose,0.58
b2925,0.005079306539619843,Glucose,0.58
b2414,0.016370995693082407,Glucose,0.58
b1783,0.00025044888399202445,Glucose,0.58
b2751,0.0005196521305918764,Glucose,0.58
b1830,0.00025123031576735033,Glucose,0.58
b3846,8.94739382748419e-05,Glucose,0.58
b0688,0.0005079306539619844,Glucose,0.58
b0008,0.0024263456623876303,Glucose,0.58
b4260,0.00038251085402214036,Glucose,0.58
b0004,0.00445416111935894,Glucose,0.58
lpdA,0.004141588409228484,Glucose,0.58
b0325,0.0003625843437513244,Glucose,0.58
b0053,0.00047667338294893964,Glucose,0.58
b4179,0.0001496441849749541,Glucose,0.58
b0930,0.0018832505785359764,Glucose,0.58
b0893,0.0007931532519560216,Glucose,0.58
b4034,0.0006017024670011202,Glucose,0.58
b4245,0.001984836709328369,Glucose,0.58
b3771,0.0005079306539619844,Glucose,0.58
b1687,0.0001695706952457701,Glucose,0.58
b2155,0.0002754547008024605,Glucose,0.58
b0882,0.000289129756870668,Glucose,0.58
b0161,0.0010666543733201638,Glucose,0.58
b0054,0.0003043676764895273,Glucose,0.58
b1274,0.00022388020363093644,Glucose,0.58
b1876,0.00039462304653969596,Glucose,0.58
b2400,0.0008947393827484188,Glucose,0.58
b0169,0.005040234950853537,Glucose,0.58
b2132,8.517606351054811e-05,Glucose,0.58
b2096,0.0009846040369109249,Glucose,0.58
b1101,0.0009103680182549416,Glucose,0.58
b1062,0.001129168915346259,Glucose,0.58
b3960,0.0009416252892679864,Glucose,0.58
b0674,0.00046885906519567825,Glucose,0.58
b0928,0.0019731152326984748,Glucose,0.58
b0728,0.001668356840321288,Glucose,0.58
b0729,0.0013362483358076785,Glucose,0.58
b0438,0.0009767897191576655,Glucose,0.58
